ID,CLAVE12,DESCRIPCION,UNIDAD,CANTI,TIPO,caracteristicas,redfrio,fecreg
9200,5372631530,Cucharilla Cobb N ° 00.,,,,FUENTE UNICA,NO,28/02/2020
9201,5372631548,Cucharilla Cobb N ° 0.,,,,FUENTE UNICA,NO,28/02/2020
9202,5372631555,Cucharilla Cobb N ° 1.,,,,FUENTE UNICA,NO,28/02/2020
9203,5372631563,Cucharilla Cobb N ° 2.,,,,FUENTE UNICA,NO,28/02/2020
9204,5372631571,Cucharilla Cobb N ° 4.,,,,FUENTE UNICA,NO,28/02/2020
9205,5372631589,Cucharilla Cobb N ° 5.,,,,FUENTE UNICA,NO,28/02/2020
9206,5372631597,Cucharilla Cobb N ° 6.,,,,FUENTE UNICA,NO,28/02/2020
9207,5372631605,Cucharilla.  Cucharilla Daviel para catarata tamaño grande.,,,,FUENTE UNICA,NO,28/02/2020
9208,5372631613,Cucharilla.  Cucharilla Gusberg para endocérvix punta de conos invertidos con borde cortante tamaño grande.,,,,FUENTE UNICA,NO,28/02/2020
9209,5372631616,Cucharilla Beckman para adenoides N ° 2.,,,,FUENTE UNICA,NO,28/02/2020
9210,5372631621,Cucharilla.  Cucharilla Gusberg para endocérvix punta de conos invertidos con borde cortante tamaño mediano.,,,,FUENTE UNICA,NO,28/02/2020
9211,5372631639,Cucharilla.  Cucharilla Gusberg para endocérvix punta de conos invertidos con borde cortante tamaño pequeño.,,,,FUENTE UNICA,NO,28/02/2020
9212,5372631647,Cucharilla House de doble extremo con copas fuertemente anguladas de 1.0 mm y 1.2 mm de diámetro para caja de tímpano.,,,,FUENTE UNICA,NO,28/02/2020
9213,5372631654,Cucharilla Lempert con copa del N ° 000 ó de 2.4 mm de diámetro para cirugía de mastoides.,,,,FUENTE UNICA,NO,28/02/2020
9214,5372631662,Cucharilla Lempert con copa del N ° 0000 ó de 2.0 mm de diámetro para,,,,FUENTE UNICA,NO,28/02/2020
9215,5372631670,Cucharilla Lempert con copa del N ° 00000 ó de 1.8 mm de diámetro.,,,,FUENTE UNICA,NO,28/02/2020
9216,5372631688,Cucharilla.  Cucharilla  Meyhoefer  de  0.5  mm.  de diámetro para chalazión.,,,,FUENTE UNICA,NO,28/02/2020
9217,5372631696,Cucharilla.  Cucharilla  Meyhoefer  de  1.0  mm.  de diámetro para chalazión.,,,,FUENTE UNICA,NO,28/02/2020
9218,5372631704,Cucharilla.  Cucharilla  Meyhoefer  de  1.5  mm.  de diámetro para chalazión.,,,,FUENTE UNICA,NO,28/02/2020
9219,5372631712,Cucharilla.  Cucharilla  Meyhoefer  de  1.8  mm.  de diámetro para chalazión.,,,,FUENTE UNICA,NO,28/02/2020
9220,5372631720,Cucharilla.  Cucharilla  Meyhoefer  de  2.0  mm.  de diámetro para chalazión.,,,,FUENTE UNICA,NO,28/02/2020
9221,5372631738,Cucharilla.  Cucharilla  Meyhoefer  de  2.5  mm.  de diámetro para chalazión.,,,,FUENTE UNICA,NO,28/02/2020
9222,5372631746,Cucharilla.  Cucharilla  Meyhoefer  de  3.5  mm.  de diámetro para chalazión.,,,,FUENTE UNICA,NO,28/02/2020
9223,5372631753,Cucharilla.  Cucharilla  Meyhoefer  de  4.0  mm.  de diámetro para chalazión.,,,,FUENTE UNICA,NO,28/02/2020
9224,5372631761,Cucharilla.  Cucharilla Recamier-Sims-Bum flexible cortante ancho de 8 a 8.5 mm.,,,,FUENTE UNICA,NO,28/02/2020
9225,5372631779,Cucharilla.  Cucharilla Recamier-Sims-Bum flexible cortante ancho de 11 a 11.5 m,,,,FUENTE UNICA,NO,28/02/2020
9226,5372631787,Cucharilla.  Cucharilla Recamier-Sims-Bum flexible cortante ancho de 14 a 14.5 mm.,,,,FUENTE UNICA,NO,28/02/2020
9227,5372631795,Cucharilla.  Cucharilla Recamier-Sims-Bum flexible roma ancho de 7 a 7.5 mm.,,,,FUENTE UNICA,NO,28/02/2020
9228,5372631803,Cucharilla.  Cucharilla Recamier-Sims-Bum flexible roma ancho de 8 a 8.5 mm.,,,,FUENTE UNICA,NO,28/02/2020
9229,5372631811,Cucharilla.  Cucharilla Recamier-Sims-Bum flexible roma ancho de 9 a 10.5 mm.,,,,FUENTE UNICA,NO,28/02/2020
9230,5372631829,Cucharilla.  Cucharilla Recamier-Sims-Bum flexible roma ancho de 11 a 11.5 mm.,,,,FUENTE UNICA,NO,28/02/2020
9231,5372631837,Cucharilla.  Cucharilla Recamier-Sims-Bum flexible roma ancho de 12 a 12.5 mm.,,,,FUENTE UNICA,NO,28/02/2020
9232,5372631845,Cucharilla.  Cucharilla Recamier-Sims-Bum flexible roma ancho de 14 a 14.5 mm.,,,,FUENTE UNICA,NO,28/02/2020
9233,5372631852,Cucharilla.  Cucharilla  Recamier-Sims-Bum  rígida cortante ancho de 7 a 7.5 mm.,,,,FUENTE UNICA,NO,28/02/2020
9234,5372631860,Cucharilla.  Cucharilla  Recamier-Sims-Bum  rígida cortante ancho de 8 a 8.5 mm.,,,,FUENTE UNICA,NO,28/02/2020
9235,5372631878,Cucharilla.  Cucharilla  Recamier-Sims-Bum  rígida cortante ancho de 9 a 10.5 mm.,,,,FUENTE UNICA,NO,28/02/2020
9236,5372631886,Cucharilla.  Cucharilla  Recamier-Sims-Bum  rígida cortante ancho de 11 a 11.5 mm.,,,,FUENTE UNICA,NO,28/02/2020
9237,5372631894,Cucharilla.  Cucharilla  Recamier-Sims-Bum  rígida cortante ancho de 12 a 12.5 mm.,,,,FUENTE UNICA,NO,28/02/2020
9238,5372631902,Cucharilla.  Cucharilla  Recamier-Sims-Bum  rígida cortante ancho de 14 a 14.5 mm.,,,,FUENTE UNICA,NO,28/02/2020
9239,5372631910,Cucharilla.  Cucharilla  Recamier-Sims-Bum  rígida roma ancho de 7 a 7.5 mm.,,,,FUENTE UNICA,NO,28/02/2020
9240,5372631928,Cucharilla.  Cucharilla  Recamier-Sims-Bum  rígida roma ancho de 8 a 8.5 mm.,,,,FUENTE UNICA,NO,28/02/2020
9241,5372631936,Cucharilla.  Cucharilla rígida roma ancho de 9 a 10.5 mm.,,,,FUENTE UNICA,NO,28/02/2020
9242,5372631944,Cucharilla.  Cucharilla   Recamier-Sims-Bum   rígida roma ancho de 11 a 11.5 mm.,,,,FUENTE UNICA,NO,28/02/2020
9243,5372631951,Cucharilla.  Cucharilla   Recamier-Sims-Bum   rígida roma ancho de 12 a 12.5 mm.,,,,FUENTE UNICA,NO,28/02/2020
9244,5372631969,Cucharilla.  Cucharilla   Recamier-Sims-Bum   rígida roma ancho de 14 a 14.5 mm.,,,,FUENTE UNICA,NO,28/02/2020
9245,5372631977,Cucharilla.  Cucharilla Volkmann de doble extremo con puntas ovaladas de 130 a 140 mm. de longitud.,,,,FUENTE UNICA,NO,28/02/2020
9246,5372631985,Cucharilla.  Cucharilla Volkmann de doble extremo con puntas ovaladas de 170 mm. de longitud.,,,,FUENTE UNICA,NO,28/02/2020
9247,5372631993,Cucharilla.  Cucharilla Volkmann de doble extremo con puntas ovaladas de 200 mm. de longitud.,,,,FUENTE UNICA,NO,28/02/2020
9248,5372632009,Cucharilla.  Cucharilla Volkmann de doble extremo con una punta redonda y una punta ovalada de 130 a 140 mm. de longitud.,,,,FUENTE UNICA,NO,28/02/2020
9249,5372632017,Cucharilla.  Cucharilla Volkmann de doble extremo con una punta redonda y una punta ovalada de 160 a 170 mm. de longitud.,,,,FUENTE UNICA,NO,28/02/2020
9250,5372632025,Cucharilla.  Cucharilla Volkmann de doble extremo con una punta redonda y una punta ovalada de 200 a 205 mm. de longitud.,,,,FUENTE UNICA,NO,28/02/2020
9251,5372632033,Cucharilla.  Cucharilla Volkmann de doble extremo con puntas redondas en  ambos extremos de 130 a 140 mm. de longitud.,,,,FUENTE UNICA,NO,28/02/2020
9252,5372632041,Cucharilla.  Cucharilla Volkmann de doble extremo con puntas redondas en  ambos extremos de 150 a 160 mm. de longitud.,,,,FUENTE UNICA,NO,28/02/2020
9253,5372632058,Cucharilla Volkmann con mango estriado copa ovalada del N ° 0000.,,,,FUENTE UNICA,NO,28/02/2020
9254,5372632066,Cucharilla Volkmann con mango estriado copa ovalada del N ° 1.,,,,FUENTE UNICA,NO,28/02/2020
9255,5372632074,Cucharilla Volkmann con mango estriado copa ovalada del N ° 2.,,,,FUENTE UNICA,NO,28/02/2020
9256,5372632082,Cucharilla Volkmann con mango estriado copa ovalada del N ° 3.,,,,FUENTE UNICA,NO,28/02/2020
9257,5372632090,Cucharilla Volkmann con mango estriado copa ovalada del N ° 4.,,,,FUENTE UNICA,NO,28/02/2020
9258,5372632108,Cucharilla Volkmann con mango estriado copa ovalada del N ° 5.,,,,FUENTE UNICA,NO,28/02/2020
9259,5372632116,Cucharilla.  Cucharilla Volkmann con mango estriado copa ovalada del No. 6.,,,,FUENTE UNICA,NO,28/02/2020
9260,5372632124,Cucharilla.  Cucharilla Wells (espátula para enucleación) tamaño chica.,,,,FUENTE UNICA,NO,28/02/2020
9261,5372632132,Cucharilla.  Cucharilla Wells (espátula para enucleación) tamaño grande.,,,,FUENTE UNICA,NO,28/02/2020
9262,5372632140,Cucharilla recta del N ° 00 con mango sintético de 220 mm ó 270 mm de longitud.,,,,FUENTE UNICA,NO,28/02/2020
9263,5372632157,Cucharilla recta del N ° 0 con mango sintético de 220 mm ó 270 mm de longitud.,,,,FUENTE UNICA,NO,28/02/2020
9264,5372632165,Cucharilla recta del N ° 1 con mango sintético de 220 mm ó 270 mm de longitud.,,,,FUENTE UNICA,NO,28/02/2020
9265,5372632173,Cucharilla recta del N ° 2 con mango sintético de 220 mm ó 270 mm de longitud.,,,,FUENTE UNICA,NO,28/02/2020
9266,5372632181,Cucharilla recta del N ° 3 con mango sintético de 220 ó 270 mm de longitud.,,,,FUENTE UNICA,NO,28/02/2020
9267,5372632199,Cucharilla curva del N ° 000 con mango sintético de 220 mm ó 270 mm de longitud.,,,,FUENTE UNICA,NO,28/02/2020
