ID,CLAVE12,DESCRIPCION,UNIDAD,CANTI,TIPO,caracteristicas,redfrio,fecreg
6000,0808231351,Controles y Estándares. Piruvato de sodio. 2 mmol/L Frasco con 100 ml. RTC.,,,,generico,NO,28/02/2020
6001,0808231369,Controles y Estándares.. p-nitro-fenol-fosfato. 10 mmol/L. Frasco con 10 ml. RTC.,,,,generico,NO,28/02/2020
6002,0808231385,Controles y Estándares. Fósforo. 1 mg/ml. Frasco con 100 ml. RTC.,,,,generico,NO,28/02/2020
6003,0808231393,Controles y Estándares. Calcio. 0.1 mg/ml. Frasco con 100 ml. RTC.,,,,generico,NO,28/02/2020
6004,0808231401,Controles y Estándares Cloruros. 10 mEq/L. Frasco con 100 ml. RTC.,,,,generico,NO,28/02/2020
6005,0808231492,Soluciones Amortiguadoras Amortiguadora de acetato pH 4.5. Frasco con 100 ml. TA.,FCO,100,ML.,generico,NO,28/02/2020
6006,0808231633,Controles y estándares. Solución concentrada de cloruro de cesio. Frasco con 500 ml. TA.,,,,generico,NO,28/02/2020
6007,0808231658,Soluciones amortiguadoras. Solución amortiguadora pH 4.0 para calibración de potenciómetros. Frasco con 500 ml. TA.,FCO,500,ML.,generico,NO,28/02/2020
6008,0808231914,Controles y Estándares. Suero control liofilizado con valores de referencia normales para diferentes analitos (incluye enzimas). Métodos manuales y automatizados. Estabilidad mínima: 10 días después de reconstituir con agua destilada. Frasco para 5 ml. RTC.,FCO,5,ML.,generico,NO,28/02/2020
6009,0808231922,Controles y Estándares. Suero control liofilizado con valores de referencia anormales para diferentes analitos (incluye enzimas). Métodos manuales y automatizados. Estabilidad mínima: 10 días después de reconstituir con agua destilada. Frasco para 5 ml. RTC.,FCO,5,ML.,generico,NO,28/02/2020
6010,0808231930,Controles y Estándares Colesterol. Solución 4 mg/ml. Frasco con 100 ml. RTC.,,,,generico,NO,28/02/2020
